ID,P550
RV143,290.43
YB821,304.21
QA008,305.59
WT997,285.34
IT185,331.91
PD544,273.09
SL754,295.91
MC315,335.95
UI109,276.29
JB227,272.55
HE399,307.67
JK883,275.05
TQ441,312.13
FF080,302.13
BL427,322.5
SQ673,335.11
OW450,293.87
JM856,323.55
IA196,341.88
LB439,272.19
KG584,313.23
CC140,279.65
FB818,337.98
AY646,304.95
CW167,295.04
GC736,296.22
FU476,283.62
FW786,302.72
GY828,299.78
IO067,269.74
SW680,329.47
HD704,286.66
HI996,312.88
WL013,295.36
DB513,308.63
NT758,252.5
RV335,340.62
UI524,301.65
JN167,294.85
MW483,359.15
JF890,290.94
KC787,259.9
HS788,299.25
OZ409,258.46
OC100,354.34
NA189,291.91
IR831,302.14
MY453,296.09
ES153,296.16
GX375,285.25
